lat,lng,name
50.54286831,-112.091164,Antelope Creek Road Berry Farm
52.42167702,-113.60314,Billyco Junction Gardens
49.7001843,-112.7111797,Broxburn Vegetables & Cafe
49.6106646,-112.7462204,CR Fruit Farms
52.01902659,-113.1474086,DNA Gardens
50.94697522,-113.3999462,Field Stone Fruit Wines
51.21036372,-113.9351366,Freshfield Berry Farm
49.90168843,-112.8029021,Hazy Hollow Acres
52.24639853,-112.5049698,Kempf's Greenhouse
50.32859485,-113.4150517,Lambtastic Farms
51.5034278,-113.7180713,LeBlanc's Berry Farm
49.84392855,-113.0376917,Noble Gardens
50.33912306,-113.7439946,Paradise Hill Farm
50.93324347,-113.8655794,Premium Organic Farms Inc.
51.27948433,-113.9733675,Purple Ridge Farm
50.46445608,-111.8243277,Save Our Soils Farm Produce
50.87664906,-113.8599088,Seeds to Greens
49.97867833,-110.6871326,Slack's Market Garden
49.74675923,-112.6887081,Sudo Farms
50.77522651,-112.1281771,The Garden of Van Ee-den
50.746196,-113.860902,The Saskatoon Farm
49.60716948,-110.2246812,Top of the Mountain Beef
50.02236074,-112.8230934,VP Farm
55.11249118,-119.8342785,Broken Tine Orchard
56.83336706,-117.6426201,Buchanan Creek Vegetable & Berry Farm
55.9789692,-118.5485371,Dunvegan Gardens
55.7787393,-118.6696637,Golden Maple Gardens
55.4326889,-117.0845317,Rinse 'N' Ready Farm
55.1653622,-117.8599488,Summer's Gold
58.64113214,-117.1752073,Sunscape Gardens
53.0981469,-113.7076379,B & M Gardens & Crafts
53.42430974,-113.7137383,Big Rock Berry Farm
53.1921912,-113.549256,Brix 'N Berries
53.99037837,-114.5473638,DEZ Family Enterprises
53.55668452,-115.4018147,Deb's Greenhouse & U-Pick Raspberry
54.45062242,-114.0098741,Double Eagle Farms
52.91521896,-114.6535269,Dreaming Creek Farms
53.45266153,-113.6890956,Dunvegan Gardens (AB
52.87644366,-114.0709773,Gone Green Farms
53.71354238,-114.0017593,Grace Gardens
53.19249995,-113.6485069,Green Valley Farm
53.53466539,-113.8115541,Grove Berry Patch
53.48708262,-113.9101245,Happy Acres U Pick
53.05660484,-113.8039928,Pipestone Berry Farm
52.90167317,-114.9681163,Ponderosa City
53.53603653,-113.8365455,Roy's Raspberries
53.44881445,-114.1986215,Saskatoon Valley Orchards
53.99058021,-114.5470205,Shady Lane Estate
53.43800743,-113.6606036,Strawberry Fields
52.95942128,-113.663723,Stevens Strawberries
53.59933292,-113.8785626,Sunflower Gardens
53.44420802,-113.2717124,Barr Estate Winery Inc.
53.24578756,-113.4873982,Bio-Way Gardens
53.860524,-111.6132299,Birds & Bees Organic Winery and Meadery
52.65074196,-113.0273521,Birney's Berries
53.87799954,-113.2970453,Coronado Saskatoon U-Pick Farm
53.60293497,-113.2702876,Creek Side Saskatoon Berry Farm
53.35323101,-110.8585806,Sherwood Park
53.52138642,-111.9430386,Cruthers Berry Farm
53.7307193,-113.6200868,Destination Gardens Inc
56.68997279,-111.294824,Don's Berries & Vegetables
54.02068323,-112.306773,Dunvegan Gardens
54.07919365,-113.3753672,Emjay's Prairie Berries
53.32788094,-110.4439959,Erdmanns Gardens & Greenhouses Fanthorpe Plantation
53.89677423,-111.3110658,Flying Rabbit Fruit Farm
53.206899,-112.8972626,Glen View Greenhouse & Farm
53.4833056,-112.1310099,Hansel and Gretel's Berry Farm
54.15215203,-113.2887576,Heritage Harvest Gardens
54.42146446,-110.1315762,H'Evans Berries
53.6711887,-113.2978392,Horse Hill Berry Farm
53.16315788,-112.5994675,Irvings Farm Fresh Ltd.
53.42507023,-110.3178603,Kathy's Greenhouse
53.40018785,-113.4170277,Kozub Market Garden
53.628816,-113.3599567,Kuhlmann's Market Gardens & Greenhouses
54.10285679,-112.489106,Linda's Market Gardens Ltd.
54.41696079,-110.8589857,Lynn Rob Strawberries Market Garden
54.58388615,-112.959301,Mr. V's Field & Forest Inc.
53.85237862,-113.395692,Prairie Gardens & Adventure Farm
53.6576551,-113.2870578,Riverbend Gardens Ltd.
52.77040468,-113.0760117,Rose Berry Lane Market Garden
54.20921931,-113.0434899,Rose Ridge Farms
54.92387633,-112.1072217,Sand Springs Ranch
54.1017032,-112.5516581,Serben Free-Range
54.79338487,-111.9401189,Shady Lane Berry Farm
53.7307193,-113.6200868,T & D's Saskatoons
53.4649318,-113.2953183,The Berry Farm (at Christie's Corner
53.90320019,-112.3315507,Veggie Village
54.15176394,-113.5734722,Wakamao Greenhouse & Garden
53.3962849,-111.9044148,Yakimetz Saskatoon Farm
53.97818631,-112.6124714,Zachoda's Berry Farm
51.97605625,-114.5750357,Aspen Ranch
50.70319938,-114.0375996,Barrett's Berries
51.99022429,-114.072877,Beck Farms
49.49359382,-113.9198707,Bloomin' Inn
52.46027377,-113.9153293,Brown Eggs and Lamb
50.69787182,-114.0260983,Chinook Honey Company & Chinook Arch Meadery
51.95933539,-114.0964368,Eagle Creek Farms & Bowden Sun Maze
51.99737474,-114.116956,Edgar Farms
52.30816791,-114.0963659,Gablehouse Farm & Gardens
52.34456854,-114.0665295,Hidden Valley Garden
52.056983,-114.5737518,High Country Berries
52.02735056,-113.9471615,Innisfail Growers
52.10181154,-114.0968053,Markerville Berry & Vegetable
51.91153909,-114.3029117,Red Lodge U-Pick
49.42189847,-113.4931829,Room To Grow Market Farm
51.76628007,-114.4915517,Saskaberry Ranch
51.48349527,-114.3771339,Solstice Berry Farm
50.70484253,-114.3682039,Spirit Hills Honey Winery
52.08524112,-113.8911377,The Jungle Farm
52.62668895,-113.9628627,The Saskatoon Orchard
50.6010794,-114.2128209,Willowbank Ranch
